id,X1,X2,X3,M,TS,TO
29001,-0.5,0.93,1,15,20:00,10:28
29001,-0.5,0.93,1,15,07:00,20:03
29001,-0.5,0.93,1,15,09:00,10:25
29001,-0.5,0.93,1,15,15:00,10:46
29001,-0.5,0.93,1,15,10:00,21:38
29001,-0.5,0.93,1,15,20:00,20:03
29001,-0.5,0.93,1,15,19:00,07:52
29001,-0.5,0.93,1,15,13:00,09:19
29001,-0.5,0.93,1,15,19:00,10:01
29001,-0.5,0.93,1,15,10:00,23:51
29001,-0.5,0.93,1,15,16:00,08:50
29001,-0.5,0.93,1,15,08:00,09:11
29001,-0.5,0.93,1,15,15:00,21:55
29001,-0.5,0.93,1,15,10:00,21:34
29001,-0.5,0.93,1,15,08:00,08:37
29002,0.36,-0.31,0,1,11:00,20:31
29003,0.35,-0.48,1,13,17:00,06:05
29003,0.35,-0.48,1,13,16:00,10:58
29003,0.35,-0.48,1,13,11:00,09:33
29003,0.35,-0.48,1,13,09:00,19:01
29003,0.35,-0.48,1,13,20:00,09:43
29003,0.35,-0.48,1,13,17:00,15:50
29003,0.35,-0.48,1,13,12:00,09:41
29003,0.35,-0.48,1,13,12:00,20:37
29003,0.35,-0.48,1,13,12:00,17:59
29003,0.35,-0.48,1,13,13:00,19:46
29003,0.35,-0.48,1,13,15:00,13:35
29003,0.35,-0.48,1,13,09:00,11:44
29003,0.35,-0.48,1,13,20:00,20:22
29004,-1.88,3.15,0,5,15:00,15:52
29004,-1.88,3.15,0,5,18:00,18:10
29004,-1.88,3.15,0,5,19:00,19:59
29004,-1.88,3.15,0,5,18:00,06:33
29004,-1.88,3.15,0,5,11:00,13:05
29005,0.39,-0.5,2,14,11:00,19:08
29005,0.39,-0.5,2,14,20:00,18:28
29005,0.39,-0.5,2,14,13:00,10:21
29005,0.39,-0.5,2,14,09:00,22:11
29005,0.39,-0.5,2,14,13:00,19:07
29005,0.39,-0.5,2,14,08:00,20:55
29005,0.39,-0.5,2,14,20:00,14:21
29005,0.39,-0.5,2,14,08:00,18:12
29005,0.39,-0.5,2,14,10:00,10:13
29005,0.39,-0.5,2,14,14:00,14:43
29005,0.39,-0.5,2,14,19:00,21:35
29005,0.39,-0.5,2,14,09:00,22:04
29005,0.39,-0.5,2,14,12:00,07:03
29005,0.39,-0.5,2,14,13:00,10:24
29006,0.36,0.63,2,10,19:00,08:37
29006,0.36,0.63,2,10,18:00,09:58
29006,0.36,0.63,2,10,08:00,15:01
29006,0.36,0.63,2,10,18:00,09:22
29006,0.36,0.63,2,10,14:00,11:11
29006,0.36,0.63,2,10,09:00,08:32
29006,0.36,0.63,2,10,16:00,09:25
29006,0.36,0.63,2,10,09:00,08:27
29006,0.36,0.63,2,10,16:00,09:12
29006,0.36,0.63,2,10,19:00,08:04
29007,0.07,0.48,3,4,12:00,10:27
29007,0.07,0.48,3,4,08:00,10:21
29007,0.07,0.48,3,4,17:00,08:08
29007,0.07,0.48,3,4,14:00,21:32
29008,0.31,1.22,1,11,13:00,08:22
29008,0.31,1.22,1,11,18:00,10:52
29008,0.31,1.22,1,11,11:00,12:49
29008,0.31,1.22,1,11,10:00,14:34
29008,0.31,1.22,1,11,08:00,12:43
29008,0.31,1.22,1,11,13:00,09:35
29008,0.31,1.22,1,11,16:00,09:52
